date,temp_atmos_10,radW/m2,netW/m2
date
2022-01-02 08:00:00+00:00,-5.93,73.40,-0.92
2022-01-02 08:15:00+00:00,-6.27,73.54,-1.24
2022-01-02 08:30:00+00:00,-6.64,73.56,-1.29
2022-01-02 08:45:00+00:00,-6.80,73.57,-2.13
2022-01-02 09:00:00+00:00,-6.85,72.99,-2.21
2022-01-02 09:15:00+00:00,-6.86,74.23,-2.07
2022-01-02 09:30:00+00:00,-6.82,73.69,-1.63
2022-01-02 09:45:00+00:00,-6.80,74.49,-1.66
2022-01-02 10:00:00+00:00,-6.74,74.42,-1.70
2022-01-02 10:15:00+00:00,-6.76,74.56,-1.76
2022-01-02 10:30:00+00:00,-6.71,73.25,-1.89
2022-01-02 10:45:00+00:00,-6.66,74.72,-2.00
2022-01-02 11:00:00+00:00,-6.74,73.52,-1.93
2022-01-02 11:15:00+00:00,-7.00,73.61,-1.78
2022-01-02 11:30:00+00:00,-7.14,69.57,-1.95
2022-01-02 11:45:00+00:00,-7.13,71.52,-1.97
2022-01-02 12:00:00+00:00,-7.20,70.93,-1.97
2022-01-02 12:15:00+00:00,-7.23,72.04,-2.03
2022-01-02 12:30:00+00:00,-7.28,71.65,-2.00
2022-01-02 12:45:00+00:00,-7.33,70.89,-2.22
2022-01-02 13:00:00+00:00,-7.44,70.11,-2.04
2022-01-02 13:15:00+00:00,-7.56,71.78,-2.19
2022-01-02 13:30:00+00:00,-7.66,72.69,-2.93
2022-01-02 13:45:00+00:00,-7.76,76.56,-3.98
2022-01-02 14:00:00+00:00,-7.89,79.52,-5.52
2022-01-02 14:15:00+00:00,-7.95,84.58,-6.37
2022-01-02 14:30:00+00:00,-8.10,92.78,-9.48
2022-01-02 14:45:00+00:00,-8.18,100.18,-13.55
2022-01-02 15:00:00+00:00,-8.14,107.23,-15.84
2022-01-02 15:15:00+00:00,-7.98,124.43,-21.62
2022-01-02 15:30:00+00:00,-7.69,162.88,-34.53
2022-01-02 15:45:00+00:00,-7.50,164.80,-35.35
2022-01-02 16:00:00+00:00,-7.20,215.78,-53.45
2022-01-02 16:15:00+00:00,-7.02,239.56,-60.70
2022-01-02 16:30:00+00:00,-6.71,259.57,-71.27
2022-01-02 16:45:00+00:00,-6.47,236.89,-68.96
2022-01-02 17:00:00+00:00,-6.25,249.16,-76.43
2022-01-02 17:15:00+00:00,-6.00,247.53,-79.89
2022-01-02 17:30:00+00:00,-6.03,245.53,-81.67
2022-01-02 17:45:00+00:00,-5.55,336.79,-142.32
2022-01-02 18:00:00+00:00,-5.25,344.83,-122.60
2022-01-02 18:15:00+00:00,-4.37,540.81,-202.49
2022-01-02 18:30:00+00:00,-4.03,530.49,-65.92
2022-01-02 18:45:00+00:00,-3.67,521.93,79.14
2022-01-02 19:00:00+00:00,-3.29,499.41,147.35
2022-01-02 19:15:00+00:00,-3.14,474.41,111.65
2022-01-02 19:30:00+00:00,-2.99,455.34,100.51
2022-01-02 19:45:00+00:00,-3.21,442.54,124.28
2022-01-02 20:00:00+00:00,-3.14,421.74,118.77
2022-01-02 20:15:00+00:00,-3.18,392.35,97.22
2022-01-02 20:30:00+00:00,-3.03,360.67,97.38
2022-01-02 20:45:00+00:00,-2.99,322.52,74.42
2022-01-02 21:00:00+00:00,-3.23,250.10,42.48
2022-01-02 21:15:00+00:00,-3.14,258.43,61.95
2022-01-02 21:30:00+00:00,-3.29,157.56,-11.21
2022-01-02 21:45:00+00:00,-3.53,113.29,-16.73
2022-01-02 22:00:00+00:00,-3.69,102.54,-20.72
2022-01-02 22:15:00+00:00,-4.03,95.72,-39.38
2022-01-02 22:30:00+00:00,-4.25,81.93,-51.04
2022-01-02 22:45:00+00:00,-4.59,68.33,-90.41
2022-01-02 23:00:00+00:00,-4.88,67.77,-62.37
2022-01-02 23:15:00+00:00,-5.08,67.83,-15.19
2022-01-02 23:30:00+00:00,-5.47,67.47,-11.89
2022-01-02 23:45:00+00:00,-6.06,67.66,-10.19
2022-01-03 00:00:00+00:00,-6.58,68.05,-11.35
2022-01-03 00:15:00+00:00,-7.05,68.03,-10.08
2022-01-03 00:30:00+00:00,-7.45,67.83,-10.22
2022-01-03 00:45:00+00:00,-7.73,68.33,-10.23
2022-01-03 01:00:00+00:00,-7.98,67.52,-10.49
2022-01-03 01:15:00+00:00,-8.32,68.46,-9.95
2022-01-03 01:30:00+00:00,-8.65,69.07,-9.91
2022-01-03 01:45:00+00:00,-8.92,69.17,-10.54
2022-01-03 02:00:00+00:00,-9.21,68.06,-10.88
2022-01-03 02:15:00+00:00,-9.46,68.75,-9.99
2022-01-03 02:30:00+00:00,-9.69,68.79,-8.46
2022-01-03 02:45:00+00:00,-9.88,69.39,-9.29
2022-01-03 03:00:00+00:00,-10.08,68.92,-8.49
2022-01-03 03:15:00+00:00,-10.30,68.61,-7.93
2022-01-03 03:30:00+00:00,-10.53,69.24,-9.39
2022-01-03 03:45:00+00:00,-10.77,68.66,-11.28
2022-01-03 04:00:00+00:00,-10.97,69.96,-10.61
2022-01-03 04:15:00+00:00,-11.06,69.51,-11.09
2022-01-03 04:30:00+00:00,-11.22,71.07,-8.49
2022-01-03 04:45:00+00:00,-11.12,69.60,-4.76
2022-01-03 05:00:00+00:00,-11.24,67.17,-6.99
2022-01-03 05:15:00+00:00,-11.32,69.00,-7.44
2022-01-03 05:30:00+00:00,-11.43,70.61,-6.10
2022-01-03 05:45:00+00:00,-11.70,70.45,-7.08
2022-01-03 06:00:00+00:00,-11.91,69.08,-7.79
2022-01-03 06:15:00+00:00,-12.05,68.47,-6.05
2022-01-03 06:30:00+00:00,-12.16,67.79,-6.32
2022-01-03 06:45:00+00:00,-12.29,67.68,-5.85
2022-01-03 07:00:00+00:00,-12.40,68.48,-5.81
2022-01-03 07:15:00+00:00,-12.58,67.43,-7.95
2022-01-03 07:30:00+00:00,-12.70,66.86,-6.78
2022-01-03 07:45:00+00:00,-12.81,68.75,-6.43
2022-01-03 08:00:00+00:00,-12.89,69.17,-6.51
2022-01-03 08:15:00+00:00,-12.95,69.15,-7.02
2022-01-03 08:30:00+00:00,-13.05,66.64,-7.55
2022-01-03 08:45:00+00:00,-13.14,66.53,-6.42
2022-01-03 09:00:00+00:00,-13.14,65.68,-6.55
2022-01-03 09:15:00+00:00,-13.23,63.88,-7.77
2022-01-03 09:30:00+00:00,-13.35,66.19,-7.56
2022-01-03 09:45:00+00:00,-13.46,68.64,-6.14
