date,temp_ambient,temp_system,temp_atmos_60,temp_atmos_10
2022-01-01 23:15:00+00:00,0.0334482758620689,20.08566666666667,-1.89,-1.46
2022-01-01 23:30:00+00:00,0.192,20.298,-1.87,-1.46
2022-01-01 23:45:00+00:00,0.081,20.346896551724136,-1.98,-1.57
2022-01-02 00:00:00+00:00,-0.1403333333333333,20.098000000000003,-2.14,-1.74
2022-01-02 00:15:00+00:00,-0.2846666666666667,20.04433333333333,-2.95,-2.46
2022-01-02 00:30:00+00:00,-0.8536666666666667,20.139666666666667,-3.7,-3.23
2022-01-02 00:45:00+00:00,-1.4486666666666668,19.904,-4.06,-3.59
2022-01-02 01:00:00+00:00,-1.7716666666666667,19.463,-4.17,-3.71
2022-01-02 01:15:00+00:00,-1.850666666666667,19.270666666666667,-4.23,-3.81
2022-01-02 01:30:00+00:00,-1.7553333333333332,19.336,-4.27,-3.83
2022-01-02 01:45:00+00:00,-1.751,19.436,-4.21,-3.82
2022-01-02 02:00:00+00:00,-1.7406666666666666,19.293,-3.74,-3.45
2022-01-02 02:15:00+00:00,-1.1406666666666667,19.238,-2.93,-2.64
2022-01-02 02:30:00+00:00,-0.785,19.439666666666668,-2.58,-2.21
2022-01-02 02:45:00+00:00,-0.6513333333333333,19.42533333333333,-2.51,-2.09
2022-01-02 03:00:00+00:00,-0.7083333333333334,19.351666666666667,-2.6,-2.17
2022-01-02 03:15:00+00:00,-0.7543333333333333,19.299666666666667,-2.56,-2.14
2022-01-02 03:30:00+00:00,-0.5950000000000001,19.427666666666667,-2.55,-2.12
2022-01-02 03:45:00+00:00,-0.5950000000000001,19.594,-2.52,-2.09
2022-01-02 04:00:00+00:00,-0.6163333333333333,19.561333333333334,-2.58,-2.15
2022-01-02 04:15:00+00:00,-0.6216666666666666,19.598,-2.63,-2.19
2022-01-02 04:30:00+00:00,-0.6566666666666666,19.668,-2.72,-2.31
2022-01-02 04:45:00+00:00,-0.5743333333333334,19.838666666666665,-2.73,-2.29
2022-01-02 05:00:00+00:00,-0.4656666666666667,20.089310344827588,-2.68,-2.24
2022-01-02 05:15:00+00:00,-0.4599999999999999,20.121666666666663,-2.59,-2.15
2022-01-02 05:30:00+00:00,-0.3836666666666666,20.252666666666663,-2.57,-2.13
2022-01-02 05:45:00+00:00,-0.4433333333333333,20.271666666666665,-3.4,-2.94
2022-01-02 06:00:00+00:00,-1.125,20.23,-4.31,-3.82
2022-01-02 06:15:00+00:00,-1.6373333333333333,19.872,-4.56,-4.1
2022-01-02 06:30:00+00:00,-1.92,19.555666666666664,-4.87,-4.39
2022-01-02 06:45:00+00:00,-2.2282758620689656,19.387,-5.07,-4.61
2022-01-02 07:00:00+00:00,-2.351,19.134,-5.28,-4.81
2022-01-02 07:15:00+00:00,-2.704,18.956333333333337,-5.6,-5.12
2022-01-02 07:30:00+00:00,-3.1016666666666666,18.554,-5.91,-5.45
2022-01-02 07:45:00+00:00,-3.275,18.40833333333333,-6.14,-5.67
2022-01-02 08:00:00+00:00,-3.715,17.929333333333332,-6.41,-5.93
2022-01-02 08:15:00+00:00,-4.056333333333333,17.553,-6.74,-6.27
2022-01-02 08:30:00+00:00,-4.484666666666667,17.170666666666666,-7.11,-6.64
2022-01-02 08:45:00+00:00,-4.725,16.837666666666667,-7.24,-6.8
2022-01-02 09:00:00+00:00,-4.703666666666667,16.848,-7.29,-6.85
2022-01-02 09:15:00+00:00,-4.694,16.874666666666666,-7.29,-6.86
2022-01-02 09:30:00+00:00,-4.73,16.929666666666666,-7.26,-6.82
2022-01-02 09:45:00+00:00,-4.666,17.020666666666667,-7.22,-6.8
2022-01-02 10:00:00+00:00,-4.608333333333333,16.953,-7.17,-6.74
2022-01-02 10:15:00+00:00,-4.530666666666666,17.11448275862069,-7.19,-6.76
2022-01-02 10:30:00+00:00,-4.551333333333333,17.25,-7.13,-6.71
2022-01-02 10:45:00+00:00,-4.303333333333333,17.554333333333332,-7.08,-6.66
2022-01-02 11:00:00+00:00,-4.284000000000001,17.812666666666665,-7.19,-6.74
2022-01-02 11:15:00+00:00,-4.511666666666667,17.78666666666667,-7.47,-7.0
2022-01-02 11:30:00+00:00,-4.758333333333334,17.562666666666665,-7.59,-7.14
2022-01-02 11:45:00+00:00,-4.8886666666666665,17.506666666666668,-7.58,-7.13
2022-01-02 12:00:00+00:00,-5.035,17.116666666666667,-7.66,-7.2
